"","names","pts","ast","reb","wins","total_games","win_pct","year"
"267","Kevin Porter Jr.",18.8333333333333,6.08333333333333,6.08333333333333,2,12,0.166666666666667,2023
"268","Kevon Harris",3.88888888888889,0.555555555555556,2.33333333333333,2,9,0.222222222222222,2023
"269","Kevon Looney",6.36363636363636,3.27272727272727,6.63636363636364,4,11,0.363636363636364,2023
"270","Khem Birch",2.25,0.25,1.25,4,4,1,2023
"271","Killian Hayes",4,3,1.91666666666667,3,12,0.25,2023
"272","Klay Thompson",15.1111111111111,2.55555555555556,2.77777777777778,4,9,0.444444444444444,2023
"273","Kristaps Porzingis",19.1818181818182,2.45454545454545,8.18181818181818,5,11,0.454545454545455,2023
"274","Kyle Anderson",5.5,2.5,2.375,2,8,0.25,2023
"275","Kyle Kuzma",17.1818181818182,2.09090909090909,7.36363636363636,5,11,0.454545454545455,2023
"276","Kyle Lowry",13.3636363636364,5.81818181818182,4.45454545454545,4,11,0.363636363636364,2023
"277","Kyrie Irving",26.875,5.125,5.125,2,8,0.25,2023
"278","KZ Okpala",0.5,0.333333333333333,1,2,6,0.333333333333333,2023
"279","Lamar Stevens",2,0,0.333333333333333,3,3,1,2023
"280","Landry Shamet",7,1.22222222222222,0.666666666666667,7,9,0.777777777777778,2023
"281","Larry Nance Jr.",9,2.6,5.3,5,10,0.5,2023
"282","Lauri Markkanen",22.6923076923077,2.46153846153846,8.76923076923077,10,13,0.769230769230769,2023
"283","Leandro Bolmaro",1.33333333333333,0.666666666666667,0.333333333333333,2,3,0.666666666666667,2023
"284","LeBron James",24.9,6.9,8.8,2,10,0.2,2023
"285","Lindy Waters III",1.5,0,1,0,2,0,2023
"286","Lonnie Walker IV",15.3333333333333,2,2.77777777777778,2,9,0.222222222222222,2023
"287","Luguentz Dort",12.6363636363636,2.63636363636364,4.18181818181818,4,11,0.363636363636364,2023
"288","Luka Doncic",34.8,8.1,8.2,6,10,0.6,2023
"289","Luke Kennard",8.27272727272727,0.636363636363636,3.27272727272727,7,11,0.636363636363636,2023
"290","Luke Kornet",2.28571428571429,1.42857142857143,3,4,7,0.571428571428571,2023
"291","Malachi Flynn",4.16666666666667,0.666666666666667,0.666666666666667,3,6,0.5,2023
"292","Malaki Branham",6,2,2.25,1,4,0.25,2023
"293","Malcolm Brogdon",13.7272727272727,3.54545454545455,3.81818181818182,8,11,0.727272727272727,2023
"294","Malcolm Hill",0,0,0.333333333333333,3,3,1,2023
"295","Malik Beasley",11.4615384615385,1,3.23076923076923,10,13,0.769230769230769,2023
"296","Malik Monk",12.2,4.4,2.5,4,10,0.4,2023
"297","Mamadi Diakite",1,0,1,2,2,1,2023
"298","Marcus Morris Sr.",14.9,2.2,6,7,10,0.7,2023
"299","Marcus Smart",10.4545454545455,7,3.45454545454545,8,11,0.727272727272727,2023
"300","MarJon Beauchamp",5.875,0.125,3.125,7,8,0.875,2023
"301","Mark Williams",3.66666666666667,0,2.66666666666667,2,3,0.666666666666667,2023
"302","Markieff Morris",2.14285714285714,0.571428571428571,1.71428571428571,5,7,0.714285714285714,2023
"303","Marko Simonovic",0,0,0,0,1,0,2023
"304","Mason Plumlee",8.75,4.08333333333333,8.58333333333333,3,12,0.25,2023
"305","Matisse Thybulle",1.5,0.6,1.2,5,10,0.5,2023
"306","Matt Ryan",4.88888888888889,0.333333333333333,1.33333333333333,2,9,0.222222222222222,2023
"307","Matthew Dellavedova",2.66666666666667,1.33333333333333,0.666666666666667,1,3,0.333333333333333,2023
"308","Max Christie",3,0.5,1.33333333333333,0,6,0,2023
"309","Max Strus",14.3636363636364,2,4.18181818181818,4,11,0.363636363636364,2023
"310","Maxi Kleber",5.2,0.8,4.1,6,10,0.6,2023
"311","McKinley Wright IV",2,2,2,1,1,1,2023
"312","Micah Potter",2,0.5,1.5,1,2,0.5,2023
"313","Michael Porter Jr.",17.8,1.3,7.2,7,10,0.7,2023
"314","Mikal Bridges",16.3636363636364,2.90909090909091,5.27272727272727,8,11,0.727272727272727,2023
"315","Mike Conley",12.0833333333333,8,2.33333333333333,9,12,0.75,2023
"316","Mike Muscala",7.2,0.6,4.4,3,10,0.3,2023
"317","Miles McBride",0,0.5,0,2,4,0.5,2023
"318","Mitchell Robinson",6.5,1,6.375,4,8,0.5,2023
