"","names","pts","ast","reb","wins","total_games","win_pct","year","mvp","is_mvp"
"95","Danilo Gallinari",16.18309859,2.478873239,5.169014085,50,71,0.704225352,2013,0,"NO"
"96","Danny Granger",5.4,0.6,1.8,4,5,0.8,2013,0,"NO"
"97","Danny Green",10.475,1.7625,3.05,57,80,0.7125,2013,0,"NO"
"98","Dante Cunningham",8.6875,0.8375,5.1,30,80,0.375,2013,0,"NO"
"99","Darius Johnson-Odom",0,0.25,1,4,4,1,2013,0,"NO"
"100","Darius Miller",2.269230769,0.846153846,1.5,14,52,0.269230769,2013,0,"NO"
"101","Darius Morris",4.041666667,1.583333333,1.1875,23,48,0.479166667,2013,0,"NO"
"102","Darko Milicic",0,0,1,0,1,0,2013,0,"NO"
"103","Darrell Arthur",6.13559322,0.559322034,2.86440678,37,59,0.627118644,2013,0,"NO"
"104","Darren Collison",12,5.12345679,2.703703704,41,81,0.50617284,2013,0,"NO"
"105","David Lee",18.46835443,3.53164557,11.21518987,46,79,0.582278481,2013,0,"NO"
"106","David West",17.12328767,2.917808219,7.712328767,43,73,0.589041096,2013,0,"NO"
"107","DeAndre Jordan",8.829268293,0.341463415,7.243902439,56,82,0.682926829,2013,0,"NO"
"108","DeAndre Liggins",1.487179487,0.384615385,1.358974359,30,39,0.769230769,2013,0,"NO"
"109","DeJuan Blair",5.37704918,0.737704918,3.770491803,44,61,0.721311475,2013,0,"NO"
"110","DeMar DeRozan",18.1097561,2.487804878,3.902439024,34,82,0.414634146,2013,0,"NO"
"111","DeMarcus Cousins",17.06666667,2.653333333,9.946666667,26,75,0.346666667,2013,0,"NO"
"112","DeMarre Carroll",5.954545455,0.924242424,2.848484848,34,66,0.515151515,2013,0,"NO"
"113","DeQuan Jones",3.698412698,0.253968254,1.666666667,14,63,0.222222222,2013,0,"NO"
"114","Derek Fisher",5.303030303,1.424242424,1.121212121,22,33,0.666666667,2013,0,"NO"
"115","Deron Williams",18.92307692,7.743589744,2.974358974,46,78,0.58974359,2013,0,"NO"
"116","Derrick Favors",9.441558442,0.974025974,7.090909091,40,77,0.519480519,2013,0,"NO"
"117","Derrick Williams",11.96153846,0.58974359,5.512820513,29,78,0.371794872,2013,0,"NO"
"118","DeSagana Diop",0.727272727,0.590909091,2.318181818,3,22,0.136363636,2013,0,"NO"
"119","DeShawn Stevenson",5.071428571,0.928571429,2.178571429,30,56,0.535714286,2013,0,"NO"
"120","Devin Ebanks",3.421052632,0.526315789,2.157894737,8,19,0.421052632,2013,0,"NO"
"121","Devin Harris",9.948275862,3.396551724,2,35,58,0.603448276,2013,0,"NO"
"122","Dexter Pittman",0.727272727,0,1.090909091,9,11,0.818181818,2013,0,"NO"
"123","Diante Garrett",2.105263158,1.631578947,0.789473684,3,19,0.157894737,2013,0,"NO"
"124","Dion Waiters",14.6557377,3,2.442622951,20,61,0.327868852,2013,0,"NO"
"125","Dirk Nowitzki",17.30188679,2.490566038,6.849056604,28,53,0.528301887,2013,0,"NO"
"126","DJ White",2.416666667,0.333333333,1.083333333,4,12,0.333333333,2013,0,"NO"
"127","Dominic McGuire",1.961538462,0.769230769,3,7,26,0.269230769,2013,0,"NO"
"128","Dominique Jones",4,2.862068966,1.551724138,9,29,0.310344828,2013,0,"NO"
"129","Donald Sloan",3.52173913,1.652173913,1.217391304,6,23,0.260869565,2013,0,"NO"
"130","Donatas Motiejunas",5.681818182,0.704545455,2.113636364,27,44,0.613636364,2013,0,"NO"
"131","Dorell Wright",9.227848101,1.898734177,3.82278481,32,79,0.405063291,2013,0,"NO"
"132","Doron Lamb",3.276595745,0.680851064,0.978723404,16,47,0.340425532,2013,0,"NO"
"133","Draymond Green",2.873417722,0.670886076,3.291139241,45,79,0.569620253,2013,0,"NO"
"134","Drew Gooden",3.25,0.375,1.9375,9,16,0.5625,2013,0,"NO"
